unit,spearman_with_race
0,-0.12088840603451653
1,-0.16618719131478762
2,-0.09720337768125965
3,0.08015347634344293
4,-0.21467253885275653
5,0.053105719490950935
6,-0.18308974724168772
7,-0.05269789451649861
8,-0.011393410261165174
9,-0.15523868427997142
10,-0.18157651437119998
11,-0.13627657432887477
12,-0.1979834257272394
13,-0.09825662191922291
14,0.051758958374916404
15,-0.1447463118924989
16,-0.12465748609310782
17,0.07319691880705584
18,-0.09792573011056496
19,-0.11956487385566998
20,-0.18532605006934197
21,0.1812810803404775
22,0.11176092629129038
23,0.14912465246162301
24,
25,0.09803597856537255
26,0.10784933263519102
27,-0.018605162264692984
28,0.06482549894209368
29,-0.17222684196388643
30,-0.15014292003102092
31,0.0033833372298867465
