sex,race,y_true,y_prob,y_pred
Male,White,0,0.097896,0
Female,White,0,0.012860853,0
Male,White,0,0.18290578,0
Male,White,0,0.26363444,0
Female,Black,0,0.04669586,0
Male,White,1,0.2757378,0
Female,Black,0,0.02375352,0
Female,White,0,0.000118218006,0
Male,White,0,0.07370676,0
Male,Black,0,0.0010117823,0
Male,White,1,0.5129141,1
Male,White,1,0.44415408,0
Male,White,0,0.009128073,0
Female,White,0,0.013340809,0
Male,White,0,0.5020647,1
Male,White,0,0.8342593,1
Female,White,0,0.011376706,0
Female,White,0,5.0143764e-05,0
Male,White,0,0.0042618066,0
Male,White,1,0.8365133,1
Male,White,0,0.008795926,0
Female,White,0,0.029410707,0
Female,White,1,0.5359673,1
Female,White,0,0.0011421894,0
Female,White,0,0.014846609,0
Female,White,0,0.39598793,0
Male,White,0,0.30666724,0
Female,White,0,0.11735727,0
Male,White,0,0.104816966,0
Male,White,1,0.7140326,1
Female,White,0,0.001713438,0
Female,White,0,0.07735978,0
Male,White,0,0.0014290683,0
Female,Black,0,0.078120075,0
Male,White,1,0.25132325,0
Female,White,0,0.0019559658,0
Female,White,1,0.60320055,1
Female,White,0,0.005592993,0
Male,White,0,0.40926623,0
Female,White,0,0.0007184189,0
Male,White,1,0.95243275,1
Male,White,1,0.46971196,0
Female,White,0,0.00804716,0
Female,White,0,0.040928893,0
Female,White,0,0.0015011188,0
Male,Black,0,0.0470516,0
Female,White,0,0.022757929,0
Female,White,0,0.042136542,0
Male,White,1,0.3734841,0
Male,White,0,0.023762712,0
Male,White,0,0.4468817,0
Male,White,0,0.005398365,0
Male,White,1,0.122369014,0
Male,White,0,0.0191289,0
Male,White,0,0.22743285,0
Male,White,0,0.35125312,0
Male,White,0,0.0023586282,0
Female,White,0,0.00056862354,0
Male,White,0,0.0032837912,0
Male,White,0,0.111518875,0
Male,White,0,0.36751574,0
Female,White,0,0.0003772941,0
Male,Asian-Pac-Islander,0,0.6649463,1
Male,White,1,0.99074703,1
Male,White,1,0.37602413,0
Female,White,0,0.14349556,0
Female,Black,0,0.3327597,0
Male,White,1,0.4525231,0
Male,White,0,0.01611217,0
Male,White,0,0.004149314,0
Male,White,0,0.13167065,0
Male,White,0,0.026101317,0
Male,White,0,0.2763019,0
Female,White,0,8.7378845e-05,0
Male,White,0,0.24182265,0
Female,White,0,0.0007073366,0
Female,Amer-Indian-Eskimo,0,0.0003690188,0
Female,White,0,7.0057504e-05,0
Male,White,1,0.65339005,1
Male,White,0,0.0031368777,0
Female,White,0,0.0013742592,0
Male,White,0,0.021138525,0
Male,White,0,0.0020186987,0
Male,White,0,0.01666153,0
Male,Black,1,0.9933943,1
Male,White,0,0.718264,1
Male,White,1,0.2698343,0
Female,White,0,0.011374909,0
Male,White,0,0.46055222,0
Male,White,1,0.46665546,0
Male,White,0,0.3956512,0
Male,White,0,0.05287093,0
Male,White,0,0.09957928,0
Male,White,0,0.18069017,0
Female,White,0,0.0005419607,0
Male,White,0,0.39726415,0
Male,White,1,0.9984282,1
Male,White,0,0.50794065,1
Male,White,0,0.08719916,0
Male,White,0,0.003683229,0
Male,White,1,0.98884404,1
Male,Asian-Pac-Islander,1,0.84051347,1
Male,White,0,0.019552175,0
Male,Asian-Pac-Islander,0,0.009970633,0
Male,Black,0,0.14315762,0
Male,White,0,0.24582916,0
Male,White,0,0.0020277943,0
Female,White,0,0.0010151047,0
Male,White,1,0.9293965,1
Male,White,0,0.7833343,1
Male,White,0,0.024501676,0
Male,Black,0,0.07695495,0
Male,White,0,0.3045757,0
Male,White,1,0.91064477,1
Male,White,1,0.5472287,1
Male,White,1,0.6873843,1
Male,White,1,0.70350814,1
Female,White,0,0.024366427,0
Male,White,1,0.48986664,0
Male,White,0,0.026070962,0
Male,White,1,0.86712635,1
Female,White,0,0.002382235,0
Female,Black,0,0.00814317,0
Female,White,0,0.007983583,0
Male,White,1,0.6147697,1
Male,White,1,0.4358541,0
Male,White,0,0.048039164,0
Male,White,1,0.75477123,1
Male,White,0,0.0016406827,0
Female,White,0,0.019213244,0
Male,White,1,0.1722823,0
Male,White,0,0.2756775,0
Male,White,1,0.2661318,0
Male,White,1,0.32648242,0
Male,White,0,0.0406353,0
Male,White,0,0.00014568437,0
Male,White,1,0.5675542,1
Female,White,0,0.0064924783,0
Male,White,0,0.3877979,0
Male,Black,0,0.0024613547,0
Male,Black,0,0.26090938,0
Male,White,0,0.60292435,1
Male,Black,0,0.06859474,0
Male,Amer-Indian-Eskimo,0,0.21372528,0
Male,White,0,0.08399752,0
Male,White,0,0.35642907,0
Male,White,0,0.13995504,0
Male,White,0,0.0072491695,0
Male,White,0,0.32793462,0
Male,White,1,0.46854684,0
Female,White,0,0.016291585,0
Male,White,0,0.0650826,0
Male,Black,0,0.003441193,0
Female,White,0,0.010705504,0
Male,White,0,0.008657431,0
Male,White,0,0.070313685,0
Male,White,0,0.49462622,0
Male,White,0,0.020726897,0
Female,Amer-Indian-Eskimo,1,0.35616595,0
Male,White,1,0.37375584,0
Female,White,0,0.0020311698,0
Male,White,0,0.45902848,0
Male,White,0,0.058197357,0
Male,White,0,0.510542,1
Female,White,0,0.0019144235,0
Male,White,0,0.00016961814,0
Female,White,0,0.0607298,0
Male,White,0,0.34697786,0
Male,White,0,0.19836539,0
Male,White,0,0.088306904,0
Male,White,0,0.08761271,0
Male,White,0,0.16108337,0
Female,White,0,0.039775185,0
Male,White,0,0.013237811,0
Male,White,1,0.44570786,0
Male,White,0,0.12893607,0
Female,White,0,0.06434467,0
Male,White,0,0.20851013,0
Male,Asian-Pac-Islander,1,1.0,1
Female,White,0,0.15772535,0
Male,Black,0,0.03578999,0
Female,White,1,0.040656462,0
Female,White,0,0.041967038,0
Female,Black,0,0.42804673,0
Male,White,0,0.00229262,0
Female,White,0,0.00015935667,0
Female,White,0,0.00049194007,0
Male,White,0,0.0026399917,0
Male,White,1,0.72830486,1
Male,White,0,0.25861323,0
Male,White,0,0.65511274,1
Female,White,0,0.018785365,0
Male,White,0,0.104989305,0
Male,White,0,0.29466128,0
Male,White,0,0.11397885,0
Female,White,0,0.00049072894,0
Female,Black,0,0.0009917727,0
Female,White,0,0.0018889301,0
Male,White,0,0.20975825,0
Male,Black,0,0.011281521,0
Male,White,0,0.29614985,0
Male,White,0,0.117574856,0
Male,White,0,0.012062817,0
