component,spearman_with_sex,abs_corr
0,-0.044084732537987184,0.044084732537987184
1,-0.0759270860808354,0.0759270860808354
2,-0.09454857714139471,0.09454857714139471
3,-0.002303967453700027,0.002303967453700027
4,0.01413295322378714,0.01413295322378714
5,0.1837811360016474,0.1837811360016474
6,-0.06481624670210695,0.06481624670210695
7,0.14742008448914465,0.14742008448914465
8,-0.01851834516298403,0.01851834516298403
9,-0.08468653460828311,0.08468653460828311
10,-0.12767497699505356,0.12767497699505356
11,-0.08742971790727484,0.08742971790727484
12,0.014001787046176039,0.014001787046176039
13,-0.12025119111933211,0.12025119111933211
14,0.0759737576602885,0.0759737576602885
15,-0.06650443290148172,0.06650443290148172
16,0.08219758698867687,0.08219758698867687
17,-0.06709916278971129,0.06709916278971129
18,-0.044141958702762975,0.044141958702762975
19,0.0008689180935392211,0.0008689180935392211
20,0.020384051025268916,0.020384051025268916
21,0.2038375607275376,0.2038375607275376
22,0.3912878218659127,0.3912878218659127
23,0.29015199020564436,0.29015199020564436
24,0.1653942750838918,0.1653942750838918
25,0.29803933980484354,0.29803933980484354
26,0.10171633450562596,0.10171633450562596
27,0.06270648384196542,0.06270648384196542
28,-0.2326241702961277,0.2326241702961277
29,-0.2020848902894085,0.2020848902894085
30,0.08897427483888737,0.08897427483888737
31,-0.0391647863762893,0.0391647863762893
