model,attribute,group,n,p_pos,accuracy,tpr
logreg,sex,Female,3681,0.07606628633523499,0.9165987503395816,0.47019867549668876
logreg,sex,Male,7625,0.25508196721311477,0.8108852459016394,0.6070668369518945
logreg,race,Amer-Indian-Eskimo,106,0.08490566037735849,0.9245283018867925,0.5384615384615384
logreg,race,Asian-Pac-Islander,320,0.2625,0.853125,0.7176470588235294
logreg,race,Black,1044,0.09195402298850575,0.8994252873563219,0.46715328467153283
logreg,race,Other,101,0.06930693069306931,0.8811881188118812,0.2727272727272727
logreg,race,White,9735,0.2084232152028762,0.8380071905495634,0.5884194053208138
rf,sex,Female,3681,0.0923662048356425,0.9144254278728606,0.5275938189845475
rf,sex,Male,7625,0.27685245901639344,0.8053770491803278,0.6334610472541508
rf,race,Amer-Indian-Eskimo,106,0.1509433962264151,0.8773584905660378,0.6153846153846154
rf,race,Asian-Pac-Islander,320,0.240625,0.85625,0.6823529411764706
rf,race,Black,1044,0.10057471264367816,0.9137931034482759,0.5547445255474452
rf,race,Other,101,0.0891089108910891,0.900990099009901,0.45454545454545453
rf,race,White,9735,0.2305084745762712,0.8315356959424756,0.6181533646322379
